name,type,category,power,accuracy,pp,description,move_page_desc,makes_contact,introduced,priority
Feint,Normal,Physical,30,100,10,Only hits if opponent uses Protect or Detect in the same turn.,"Feintonly hits if the target usedProtectorDetectin the same turn. It also cancels Protect/Detect for the remainder of the turn, so subsequent moves in the same turn (in double/triple battles) can still hit.",No,4,2
Feint Attack,Dark,Physical,60,∞,20,Ignores Accuracy and Evasiveness.,"Feint Attackdeals damage and ignores changes to the Accuracy and Evasion stats. However, it will not hit Pokémon during the invulnerable stage ofBounce,Dig,Dive,Fly,Phantom Force,Shadow ForceorSky Drop.",Yes,2,0
Fell Stinger,Bug,Physical,50,100,25,Drastically raises user's Attack if target is KO'd.,"Fell Stingerdeals damage, and if the target is knocked out by this move, the user's Attack is raised by three stages.",Yes,6,0
Fickle Beam,Dragon,Special,80,100,5,May deal double damage.,"Fickle Beamdeals damage with 80 base power, however there is a 30% chance for the power to double to 160.",No,9,0
Fiery Dance,Fire,Special,80,100,10,May raise user's Special Attack.,Fiery Dancedeals damage and has a 50% chance of raising the user's Special Attack by one stage.,No,5,0
Fiery Wrath,Dark,Special,90,100,10,May cause flinching.,May cause flinching.							(20% chance),No,8,0
Fillet Away,Normal,Status,0,0,10,"Lowers HP but sharply boosts Attack, Special Attack, and Speed.","Lowers HP but sharply boosts Attack, Special Attack, and Speed.",No,9,0
Final Gambit,Fighting,Special,0,100,5,Inflicts damage equal to the user's remaining HP. User faints.,"Inflicts damage equal to the user's remaining HP. User faints.Z-Move effectsWhen a Pokémon is holdingFightinium Zand uses its Z-Power,Final Gambitturns intoAll-Out Pummelingand has base power180.",No,5,0
Fire Blast,Fire,Special,110,85,5,May burn opponent.,Fire Blastdeals damage and has a 10% chance of burning the target.,No,1,0
Fire Fang,Fire,Physical,65,95,15,May cause flinching and/or burn opponent.,"Fire Fangdeals damage, has a 10% chance of burning the target and has a 10% chance of causing the target to flinch (if the target has not yet moved).",Yes,4,0
Fire Lash,Fire,Physical,80,100,15,The user strikes the target with a burning lash. This also lowers the target's Defense stat.,"The user strikes the target with a burning lash. This also lowers the target's Defense stat.							(100% chance)Z-Move effectsWhen a Pokémon is holdingFirium Zand uses its Z-Power,Fire Lashturns intoInferno Overdriveand has base power160.",Yes,7,0
Fire Pledge,Fire,Special,80,100,10,Added effects appear if combined with Grass Pledge or Water Pledge.,"Fire Pledgedeals damage at base power80. If a teammate usesGrass PledgeorWater Pledgein the same turn, the moves combine into one attack of base power160and added effects appear.",No,5,0
Fire Punch,Fire,Physical,75,100,15,May burn opponent.,Fire Punchdeals damage and has a 10% chance of burning the target.,Yes,1,0
Fire Spin,Fire,Special,35,85,15,"Traps opponent, damaging them for 4-5 turns.","Fire Spininflicts damage on the first turn then traps the opponent, causing them to lose1⁄8of their maximum HP after each turn, for 4-5 turns.",No,1,0
First Impression,Bug,Physical,90,100,10,"Although this move has great power, it only works the first turn the user is in battle.","Although this move has great power, it only works the first turn the user is in battle.Z-Move effectsWhen a Pokémon is holdingBuginium Zand uses its Z-Power,First Impressionturns intoSavage Spin-Outand has base power175.",Yes,7,2
Fishious Rend,Water,Physical,85,100,10,"If the user attacks before the target, the power of this move is doubled.","If the user attacks before the target, the power of this move is doubled.",Yes,8,0
Fissure,Ground,Physical,0,30,5,"One-Hit-KO, if it hits.","If it hits,Fissureis guaranteed to make the opponent faint. Its accuracy increases if the user is a higher level than the target Pokémon, but fails if the target is higher level.",No,1,0
Flail,Normal,Physical,0,100,15,"The lower the user's HP, the higher the power.",Flaildeals more damage the lower the user's HP. The following formula is used:,Yes,2,0
Flame Burst,Fire,Special,70,100,15,May also injure nearby Pokémon.,Flame Burstdeals damage and will also causesplash damageto any Pokémon adjacent to the target (including the user ifFlame Burstis targeted at an ally).,No,5,0
Flame Charge,Fire,Physical,50,100,20,Raises user's Speed.,Flame Chargedeals damage and raises the user's Speed by one stage.,Yes,5,0
Flame Wheel,Fire,Physical,60,100,25,May burn opponent.,Flame Wheeldeals damage and has a 10% chance of burning the target.,Yes,2,0
Flamethrower,Fire,Special,90,100,15,May burn opponent.,Flamethrowerdeals damage and has a 10% chance of burning the target.,No,1,0
Flare Blitz,Fire,Physical,120,100,15,User receives recoil damage. May burn opponent.,"Flare Blitzdeals damage and has a 10% chance of burning the target, but the user receives1⁄3of the damage it inflicted in recoil. In other words, if the attack does 90 HP damage to the opponent, the user will lose 30 HP.",Yes,4,0
Flash,Normal,Status,0,100,20,Lowers opponent's Accuracy.,Flashlowers the target's Accuracy by one stage.,No,1,0
Flash Cannon,Steel,Special,80,100,10,May lower opponent's Special Defense.,Flash Cannondeals damage and has a 10% chance of lowering the target's Special Defense by one stage.,No,4,0
Flatter,Dark,Status,0,100,15,"Confuses opponent, but raises its Special Attack.","Flatterconfuses the target, and raises its Special Attack by one stage.",No,3,0
Fleur Cannon,Fairy,Special,130,90,5,Sharply lowers user's Special Attack.,Fleur Cannondeals damage but lowers the user's Special Attack by two stages after attacking.,No,7,0
Fling,Dark,Physical,0,100,10,Power depends on held item.,"Power depends on held item.Z-Move effectsWhen a Pokémon is holdingDarkinium Zand uses its Z-Power,Flingturns intoBlack Hole Eclipseand has base power100.",No,4,0
Flip Turn,Water,Physical,60,100,20,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting.","After making its attack, the user rushes back to switch places with a party Pokémon in waiting.",Yes,8,0
Floaty Fall,Flying,Physical,90,95,15,May cause flinching.,Floaty Falldeals damage and has a 30% chance of causing the target to flinch (if the target has not yet moved).,Yes,7,0
Floral Healing,Fairy,Status,0,0,10,The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.,"The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.Z-Move effectsWhen a Pokémon is holdingFairium Zand uses its Z-Power,Floral Healingturns intoZ-Floral Healingand eliminates any stat drops applied to the user, in addition to its usual effect as above.",No,7,0
Flower Shield,Fairy,Status,0,0,10,Sharply raises Defense of all Grass-type Pokémon on the field.,Flower Shieldraises the Defense of all Grass-type Pokémon in battle (including opponents) by one stage.,No,6,0
Flower Trick,Grass,Physical,70,∞,10,Never misses; always results in a critical hit.,Never misses; always results in a critical hit.,No,9,0
Fly,Flying,Physical,90,95,15,"Flies up on first turn, attacks on second turn.","The user ofFlywillfly up highon the first turn, disappearing from view and becoming invulnerable to most attacks. On the second turn,Flydeals damage.",Yes,1,0
Flying Press,Fighting,Physical,100,95,10,Deals Fighting and Flying type damage.,"Flying Pressdeals damage. It is a Fighting type move, but deals a combination of Fighting and Flying type damage. This in effect gives the move its own type chart, as shown below.",Yes,6,0
Focus Blast,Fighting,Special,120,70,5,May lower opponent's Special Defense.,Focus Blastdeals damage and has a 10% chance of lowering the target's Special Defense by one stage.,No,4,0
Focus Energy,Normal,Status,0,0,30,Increases critical hit ratio.,"Increases critical hit ratio.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Focus Energyturns intoZ-Focus Energyand raises Accuracy one stage, in addition to its usual effect as above.",No,1,0
Focus Punch,Fighting,Physical,150,100,20,"If the user is hit before attacking, it flinches instead.","The user ofFocus Punchwilltighten its focusbefore any other moves are made. If any regular move (with a higher priority than -3) directly hits the focused Pokémon, it loses its focus and flinches, not carrying out the attack. If no direct hits are made,Focus Punchattacks as normal.",Yes,3,-3
Follow Me,Normal,Status,0,0,20,"In Double Battle, the user takes all the attacks.","In Double Battle, the user takes all the attacks.",No,3,2
Force Palm,Fighting,Physical,60,100,10,May paralyze opponent.,Force Palmdeals damage and has a 30% chance of paralyzing the target.,Yes,4,0
Foresight,Normal,Status,0,0,40,"Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts.","Resets opponent's Evasiveness, and allows Normal- and Fighting-type attacks to hit Ghosts.ChangesInGenerations 2-3,Foresighthas 100% accuracy.Z-Move effectsWhen a Pokémon is holdingNormalium Zand uses its Z-Power,Foresightturns intoZ-Foresightand raises critical-hit ratio one stage, in addition to its usual effect as above.",No,2,0
Forest's Curse,Grass,Status,0,100,20,Adds Grass type to opponent.,Forest's Curseadds the Grass type to the target. If the target is dual-typed they essentially become a triple-typed Pokémon.,No,6,0
Foul Play,Dark,Physical,95,100,15,Uses the opponent's Attack stat.,"Foul Playuses the opponent's Attack stat instead of the user's in damage calculation. In other words, the move acts as if the target is attacking themselves, and thus is more powerful when the opponent has higher Attack.",Yes,5,0
Freeze Shock,Ice,Physical,140,90,5,"Charges on first turn, attacks on second. May paralyze opponent.","The user ofFreeze Shockwill charge on the first turn. On the second turn, it deals damage and has a 30% chance of paralyzing the target.",No,5,0
Freeze-Dry,Ice,Special,70,100,20,May freeze opponent. Super-effective against Water types.,"Freeze-Drydeals damage and has a 10% change of freezing the target. In addition to Ice's usual type advantages,Freeze-Dryis also super-effective against the Water type. This in effect gives the move its own (slightly different) type chart, as shown below:",No,6,0
Freezing Glare,Psychic,Special,90,100,10,May freeze opponent.,May freeze opponent.							(10% chance),No,8,0
Freezy Frost,Ice,Special,90,100,15,Resets all stat changes.,Freezy Frostdeals damage and eliminates stat changes from all Pokémon on the field (similar toHaze).,No,7,0
Frenzy Plant,Grass,Special,150,90,5,User must recharge next turn.,"User must recharge next turn.Z-Move effectsWhen a Pokémon is holdingGrassium Zand uses its Z-Power,Frenzy Plantturns intoBloom Doomand has base power200.",No,3,0
Frost Breath,Ice,Special,60,90,10,Always results in a critical hit.,"Frost Breathdeals damage and always results in a critical hit, increasing its power to90.",No,5,0
Frustration,Normal,Physical,0,100,20,Power decreases with higher Friendship.,The power ofFrustrationis higher when the Pokémon likes its trainer less. The base power varies between1(maximum Friendship) and102(minimum Friendship). The exact formula is:,Yes,2,0
Fury Attack,Normal,Physical,15,85,20,Hits 2-5 times in one turn.,"Fury Attackhits 2-5 times per turn used. The probability of each interval is shown in the table, with the total power after each hit.",Yes,1,0
Fury Cutter,Bug,Physical,40,95,20,Power increases each turn.,"Fury Cutterdeals damage starting at base power 40, and for each successful consecutive hit doubles in power, up to a maximum base power of 160.",Yes,2,0
Fury Swipes,Normal,Physical,18,80,15,Hits 2-5 times in one turn.,"Fury Swipeshits 2-5 times per turn used. The probability of each interval is shown in the table, with the total power after each hit.",Yes,1,0
Fusion Bolt,Electric,Physical,100,100,5,Power increases if Fusion Flare is used in the same turn.,"Fusion Boltdeals damage, and its power doubles to200ifFusion Flarehas been used before it in the same turn. If this happensFusion Bolt'sanimation will change to look more epic.",No,5,0
Fusion Flare,Fire,Special,100,100,5,Power increases if Fusion Bolt is used in the same turn.,"Fusion Flaredeals damage, and its power doubles to200ifFusion Bolthas been used before it in the same turn. If this happensFusion Flare'sanimation will change to look more epic.",No,5,0
Future Sight,Psychic,Special,120,100,10,Damage occurs 2 turns later.,"Future Sightdeals damage, but does not hit until two turns after the move is used. If the opponent switched Pokémon in the meantime, the new Pokémon gets hit, with their type and stats taken into account.",No,2,0
G-Max Befuddle,Bug,0,0,∞,5,"Butterfree-exclusive G-Max Move. Poisons, paralyzes, or puts opponent to sleep.","G-Max Befuddleis aG-Max MovefromPokemon Sword and Shield, exclusive toButterfree. Bug type moves turn intoG-Max Befuddleduring Gigantamax.",No,8,0
G-Max Cannonade,Water,0,0,∞,10,Blastoise-exclusive G-Max Move. Damages non-Water types for 4 turns.,"G-Max Cannonadeis aG-Max Movefrom thePokemon Sword and ShieldExpansion Pass, exclusive toBlastoise. Water type moves turn intoG-Max Cannonadeduring Gigantamax.",No,8,0
G-Max Centiferno,Fire,0,0,∞,5,Centiskorch-exclusive G-Max Move. Traps opponents for 4-5 turns.,"G-Max Centifernois aG-Max MovefromPokémon Sword and Shield, exclusive toCentiskorch. Fire type moves turn intoG-Max Centifernoduring Gigantamax.",No,8,0
G-Max Chi Strike,Fighting,0,0,∞,5,Machamp-exclusive G-Max Move. Increases critical hit ratio.,"G-Max Chi Strikeis aG-Max MovefromPokémon Sword and Shield, exclusive toMachamp. Fighting type moves turn intoG-Max Chi Strikeduring Gigantamax.",No,8,0
G-Max Cuddle,Normal,0,0,∞,5,Eevee-exclusive G-Max Move. Infatuates opponents.,"G-Max Cuddleis aG-Max MovefromPokemon Sword and Shield, exclusive toEevee. Normal type moves turn intoG-Max Cuddleduring Gigantamax.",No,8,0
G-Max Depletion,Dragon,0,0,∞,5,Duraludon-exclusive G-Max Move. Reduces opponent's PP.,"G-Max Depletionis aG-Max MovefromPokémon Sword and Shield, exclusive toDuraludon. Dragon type moves turn intoG-Max Depletionduring Gigantamax.",No,8,0
G-Max Drum Solo,Grass,0,160,∞,5,Rillaboom-exclusive G-Max Move. Ignores target's ability.,"G-Max Drum Solois aG-Max Movefrom thePokemon Sword and ShieldExpansion Pass, exclusive toRillaboom. Grass type moves turn intoG-Max Drum Soloduring Gigantamax.",No,8,0
G-Max Finale,Fairy,0,0,∞,5,Alcremie-exclusive G-Max Move. Heals the user's team.,"G-Max Finaleis aG-Max MovefromPokemon Sword and Shield, exclusive toAlcremie. Fairy type moves turn intoG-Max Finaleduring Gigantamax.",No,8,0
G-Max Fireball,Fire,0,160,∞,5,Cinderace-exclusive G-Max Move. Ignores target's ability.,"G-Max Fireballis aG-Max Movefrom thePokemon Sword and ShieldExpansion Pass, exclusive toCinderace. Fire type moves turn intoG-Max Fireballduring Gigantamax.",No,8,0
G-Max Foam Burst,Water,0,0,∞,5,Kingler-exclusive G-Max Move. Harshly lowers opponents' Speed.,"G-Max Foam Burstis aG-Max MovefromPokémon Sword and Shield, exclusive toKingler. Water type moves turn intoG-Max Foam Burstduring Gigantamax.",No,8,0
G-Max Gold Rush,Normal,0,0,∞,5,Meowth-exclusive G-Max Move. Confuses opponents and earns more money.,"G-Max Gold Rushis aG-Max MovefromPokemon Sword and Shield, exclusive toKantonian Meowth. Normal type moves turn intoG-Max Gold Rushduring Gigantamax.",No,8,0
G-Max Gravitas,Psychic,0,0,∞,5,Orbeetle-exclusive G-Max Move. Summons Gravity for 5 turns.,"G-Max Gravitasis aG-Max MovefromPokémon Sword and Shield, exclusive toOrbeetle. Psychic type moves turn intoG-Max Gravitasduring Gigantamax.",No,8,0
G-Max Hydrosnipe,Water,0,160,∞,5,Inteleon-exclusive G-Max Move. Ignores target's ability.,"G-Max Hydrosnipeis aG-Max Movefrom thePokemon Sword and ShieldExpansion Pass, exclusive toInteleon. Water type moves turn intoG-Max Hydrosnipeduring Gigantamax.",No,8,0
G-Max Malodor,Poison,0,0,∞,5,Garbodor-exclusive G-Max Move. Poisons opponents.,"G-Max Malodoris aG-Max MovefromPokémon Sword and Shield, exclusive toGarbodor. Poison type moves turn intoG-Max Malodorduring Gigantamax.",No,8,0
G-Max Meltdown,Steel,0,0,∞,5,Melmetal-exclusive G-Max Move. Prevents opponents using the same move twice in a row.,"G-Max Meltdownis aG-Max MovefromPokémon Sword and Shield, exclusive toMelmetal. Steel type moves turn intoG-Max Meltdownduring Gigantamax.",No,8,0
G-Max One Blow,Dark,0,0,∞,5,Urshifu Single-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.,"G-Max One Blowis aG-Max Movefrom thePokemon Sword and ShieldExpansion Pass, exclusive toUrshifu (Single Strike Style). Dark type moves turn intoG-Max One Blowduring Gigantamax.",No,8,0
G-Max Rapid Flow,Water,0,0,∞,5,Urshifu Rapid-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect.,"G-Max Rapid Flowis aG-Max Movefrom thePokemon Sword and ShieldExpansion Pass, exclusive toUrshifu (Rapid Strike Style). Water type moves turn intoG-Max Rapid Flowduring Gigantamax.",No,8,0
G-Max Replenish,Normal,0,0,∞,5,Snorlax-exclusive G-Max Move. Recycles Berries.,"G-Max Replenishis aG-Max MovefromPokémon Sword and Shield, exclusive toSnorlax. Normal type moves turn intoG-Max Replenishduring Gigantamax.",No,8,0
G-Max Resonance,Ice,0,0,∞,5,Lapras-exclusive G-Max Move. Reduces damage for 5 turns.,"G-Max Resonanceis aG-Max MovefromPokemon Sword and Shield, exclusive toLapras. Ice type moves turn intoG-Max Resonanceduring Gigantamax.",No,8,0
G-Max Sandblast,Ground,0,0,∞,5,Sandaconda-exclusive G-Max Move. Traps opponents for 4-5 turns.,"G-Max Sandblastis aG-Max MovefromPokémon Sword and Shield, exclusive toSandaconda. Ground type moves turn intoG-Max Sandblastduring Gigantamax.",No,8,0
G-Max Smite,Fairy,0,0,∞,5,Hatterene-exclusive G-Max Move. Confuses opponents.,"G-Max Smiteis aG-Max MovefromPokemon Sword and Shield, exclusive toHatterene. Fairy type moves turn intoG-Max Smiteduring Gigantamax.",No,8,0
G-Max Snooze,Dark,0,0,∞,5,Grimmsnarl-exclusive G-Max Move. Makes opponents drowsy.,"G-Max Snoozeis aG-Max MovefromPokémon Sword and Shield, exclusive toGrimmsnarl. Dark type moves turn intoG-Max Snoozeduring Gigantamax.",No,8,0
G-Max Steelsurge,Steel,0,0,∞,5,Copperajah-exclusive G-Max Move. Sets up Spikes on the field.,"G-Max Steelsurgeis aG-Max MovefromPokémon Sword and Shield, exclusive toCopperajah. Steel type moves turn intoG-Max Steelsurgeduring Gigantamax.",No,8,0
G-Max Stonesurge,Water,0,0,∞,5,Drednaw-exclusive G-Max Move. Sets up Stealth Rock.,"G-Max Stonesurgeis aG-Max MovefromPokemon Sword and Shield, exclusive toDrednaw. Water type moves turn intoG-Max Stonesurgeduring Gigantamax.",No,8,0
G-Max Stun Shock,Electric,0,0,∞,10,Toxtricity-exclusive G-Max Move. Poisons or paralyzes opponents.,"G-Max Stun Shockis aG-Max MovefromPokémon Sword and Shield, exclusive toToxtricity. Electric type moves turn intoG-Max Stun Shockduring Gigantamax.",No,8,0
G-Max Sweetness,Grass,0,0,∞,10,Appletun-exclusive G-Max Move. Heals status conditions of user's team.,"G-Max Sweetnessis aG-Max MovefromPokémon Sword and Shield, exclusive toAppletun. Grass type moves turn intoG-Max Sweetnessduring Gigantamax.",No,8,0
G-Max Tartness,Grass,0,0,∞,10,Flapple-exclusive G-Max Move. Reduces opponents' evasiveness.,"G-Max Tartnessis aG-Max MovefromPokémon Sword and Shield, exclusive toFlapple. Grass type moves turn intoG-Max Tartnessduring Gigantamax.",No,8,0
G-Max Terror,Ghost,0,0,∞,10,Gengar-exclusive G-Max Move. Prevents opponent from switching out.,"G-Max Terroris aG-Max MovefromPokémon Sword and Shield, exclusive toGengar. Ghost type moves turn intoG-Max Terrorduring Gigantamax.",No,8,0
G-Max Vine Lash,Grass,0,0,∞,10,Venusaur-exclusive G-Max Move. Damages non-Grass types for 4 turns.,"G-Max Vine Lashis aG-Max Movefrom thePokemon Sword and ShieldExpansion Pass, exclusive toVenusaur. Grass type moves turn intoG-Max Vine Lashduring Gigantamax.",No,8,0
G-Max Volcalith,Rock,0,0,∞,10,Coalossal-exclusive G-Max Move. Deals damage for 4 turns.,"G-Max Volcalithis aG-Max MovefromPokémon Sword and Shield, exclusive toCoalossal. Rock type moves turn intoG-Max Volcalithduring Gigantamax.",No,8,0
G-Max Volt Crash,Electric,0,0,∞,10,Pikachu-exclusive G-Max Move. Paralyzes opponents.,"G-Max Volt Crashis aG-Max MovefromPokemon Sword and Shield, exclusive toPikachu. Electric type moves turn intoG-Max Volt Crashduring Gigantamax.",No,8,0
G-Max Wildfire,Fire,0,0,∞,10,Charizard-exclusive G-Max Move. Damages non-Fire types for 4 turns.,"G-Max Wildfireis aG-Max MovefromPokemon Sword and Shield, exclusive toCharizard. Fire type moves turn intoG-Max Wildfireduring Gigantamax.",No,8,0
G-Max Wind Rage,Flying,0,0,∞,10,Corviknight-exclusive G-Max Move. Removes battlefield hazards.,"G-Max Wind Rageis aG-Max MovefromPokemon Sword and Shield, exclusive toCorviknight. Flying type moves turn intoG-Max Wind Rageduring Gigantamax.",No,8,0
Gastro Acid,Poison,Status,0,100,10,Cancels out the effect of the opponent's Ability.,"Cancels out the effect of the opponent's Ability.Z-Move effectsWhen a Pokémon is holdingPoisonium Zand uses its Z-Power,Gastro Acidturns intoZ-Gastro Acidand raises Speed one stage, in addition to its usual effect as above.",No,4,0
Gear Grind,Steel,Physical,50,85,15,Hits twice in one turn.,Gear Grinddeals damage and will strike twice (with 50 base power each time).,Yes,5,0
Gear Up,Steel,Status,0,0,20,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.,"The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.Z-Move effectsWhen a Pokémon is holdingSteelium Zand uses its Z-Power,Gear Upturns intoZ-Gear Upand raises Special Attack one stage, in addition to its usual effect as above.",No,7,0
Genesis Supernova,Psychic,Special,185,0,1,Mew-exclusive Z-Move.,Genesis Supernovais a Psychic type Z-move exclusive toMew. It is used with the movePsychic.,No,7,0
Geomancy,Fairy,Status,0,0,10,"Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second.","Geomancycharges on the first turn. On the second turn it raises the user's Special Attack, Special Defense and Speed by two stages each.",No,6,0
Giga Drain,Grass,Special,75,100,10,User recovers half the HP inflicted on opponent.,Giga Draindeals damage and the user will recover 50% of the HP drained.,No,2,0
Giga Impact,Normal,Physical,150,90,5,User must recharge next turn.,"Giga Impactdeals damage, but the user must recharge on the next turn (bringing its effective power down to 75 per turn).",Yes,4,0
Gigaton Hammer,Steel,Physical,160,100,5,Cannot be used twice in a row.,Cannot be used twice in a row.,No,9,0
Gigavolt Havoc,Electric,0,0,0,1,Electric type Z-Move.,"Gigavolt Havocis the Electric type Z-Move, introduced in Pokémon Sun/Moon.",No,7,0
Glacial Lance,Ice,Physical,120,100,5,The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.,"The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.ChangesIn Pokémon Legends: Arceus,Glacial Lancehas 130 base power.",No,8,0
Glaciate,Ice,Special,65,95,10,Lowers opponent's Speed.,Glaciatedeals damage and lowers the target's Speed by one stage.,No,5,0
Glaive Rush,Dragon,Physical,120,100,5,Attacks from opposing Pokémon during the next turn cannot miss and will inflict double damage.,Attacks from opposing Pokémon during the next turn cannot miss and will inflict double damage.,Yes,9,0
Glare,Normal,Status,0,100,30,Paralyzes opponent.,"Glareparalyzes the target, if it hits. Paralyzed Pokémon have a 25% chance of not being able to attack, and their Speed is decreased by 50% (75% inGenerations 1-6).",No,1,0
Glitzy Glow,Psychic,Special,90,100,15,Reduces damage from Special attacks.,"Glitzy Glowdeals damage and reduces damage from Special attacks by 50%, for 5 turns (similar toLight Screen).",No,7,0
Grass Knot,Grass,Special,0,100,20,"The heavier the opponent, the stronger the attack.","Grass Knotinflicts greater damage onheavier opponents, as shown in the table.",Yes,4,0
Grass Pledge,Grass,Special,80,100,10,Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.,"Grass Pledgedeals damage at base power80. If a teammate usesFire PledgeorWater Pledgein the same turn, the moves combine into one attack of base power160and added effects appear.",No,5,0
Grass Whistle,Grass,Status,0,55,15,Puts opponent to sleep.,"Grass Whistleputs the target to sleep, if it hits. Sleeping Pokémon cannot move (with some exceptions such asSnore). Sleep lasts for 1-3 turns.",No,3,0
Grassy Glide,Grass,Physical,55,100,20,High priority during Grassy Terrain.,"High priority during Grassy Terrain.ChangesInGeneration 8,Grassy Glidehas 70 base power.",Yes,8,0
Grassy Terrain,Grass,Status,0,0,10,Restores a little HP of all Pokémon for 5 turns.,"Grassy Terraincreates a low-lying grassy field lasting 5 turns, that restores the HP of grounded Pokémon each turn, by1⁄16of their maximum HP. The power ofGrasstype moves also increases by 50% while in effect, and the movesEarthquake,Magnitude, andBulldozehalve in power.",No,6,0
Grav Apple,Grass,Physical,80,100,10,Lowers the opponent's Defense stat.,Lowers the opponent's Defense stat.							(100% chance),No,8,0
Gravity,Psychic,Status,0,0,5,Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.,"Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.Z-Move effectsWhen a Pokémon is holdingPsychium Zand uses its Z-Power,Gravityturns intoZ-Gravityand raises Special Attack one stage, in addition to its usual effect as above.",No,4,0
Growl,Normal,Status,0,100,40,Lowers opponent's Attack.,Growllowers the target's Attack by one stage.,No,1,0
Growth,Normal,Status,0,0,20,Raises user's Attack and Special Attack.,Growthraises the user's Attack and Special Attack by one stage each. During harsh sunlight it raises each stat by two stages.,No,1,0
Grudge,Ghost,Status,0,0,5,"If the users faints after using this move, the PP for the opponent's last move is depleted.","If the users faints after using this move, the PP for the opponent's last move is depleted.Z-Move effectsWhen a Pokémon is holdingGhostium Zand uses its Z-Power,Grudgeturns intoZ-Grudgeand makes the Pokémon become the center of attention, in addition to its usual effect as above.",No,3,0
Guard Split,Psychic,Status,0,0,10,Averages Defense and Special Defense with the target.,Guard Splitaverages the user's Defense and Special Defense with those of the target. Stat boosts are not taken into account.,No,5,0
Guard Swap,Psychic,Status,0,0,10,User and opponent swap Defense and Special Defense.,"User and opponent swap Defense and Special Defense.Z-Move effectsWhen a Pokémon is holdingPsychium Zand uses its Z-Power,Guard Swapturns intoZ-Guard Swapand raises Speed one stage, in addition to its usual effect as above.",No,4,0
Guardian of Alola,Fairy,Special,0,0,1,Tapu-exclusive Z-move. Cuts opponent's HP by 75%.,"Guardian of Alolais a Z-move exclusive to the guardian deities of Alola -Tapu Koko,Tapu Lele,Tapu BuluandTapu Fini. It is used withNature's Madness.",No,7,0
Guillotine,Normal,Physical,0,30,5,"One-Hit-KO, if it hits.","If it hits,Guillotineis guaranteed to make the opponent faint. Its accuracy increases if the user is a higher level than the target Pokémon, but fails if the target is higher level.",Yes,1,0
Gunk Shot,Poison,Physical,120,80,5,May poison opponent.,Gunk Shotdeals damage and has a 30% chance of poisoning the target.,No,4,0
Gust,Flying,Special,40,100,35,Hits Pokémon using Fly/Bounce/Sky Drop with double power.,"Gustdeals damage and can hit Pokémon during the invulnerable stage ofBounce,FlyorSky Drop- in which case the power is doubled.",No,1,0
Gyro Ball,Steel,Physical,0,100,5,"The slower the user, the stronger the attack.","Gyro Ballinflicts varying damage: the slower the user compared to the opponent, the higher the damage, up to a maximum base power of150. The base power is calculated as:",Yes,4,0
Hail,Ice,Status,0,0,10,Non-Ice types are damaged for 5 turns.,Hailcreates a hailstorm that lasts for 5 turns and induces these additional effects:,No,3,0
Hammer Arm,Fighting,Physical,100,90,10,Lowers user's Speed.,Hammer Armdeals damage but lowers the user's Speed by one stage after attacking.,Yes,4,0
Happy Hour,Normal,Status,0,0,30,Doubles prize money from trainer battles.,"Happy Hourhas no battle effect. Instead, it doubles the prize money awarded to the player at the end of the battle. If theAmulet CoinorLuck Incenseis held by any Pokémon in battle, and any Pokémon usesHappy Hourduring the battle, the prize money is quadrupled.",No,6,0
Hard Press,Steel,Physical,0,100,10,,"The target is crushed with an arm, a claw, or the like to inflict damage. The more HP the target has left, the greater the move’s power.",No,9,0
Harden,Normal,Status,0,0,30,Raises user's Defense.,Hardenraises the user's Defense by one stage.,No,1,0
Haze,Ice,Status,0,0,30,Resets all stat changes.,"Resets all stat changes.Z-Move effectsWhen a Pokémon is holdingIcium Zand uses its Z-Power,Hazeturns intoZ-Hazeand fully restores the user's HP, in addition to its usual effect as above.",No,1,0
Head Charge,Normal,Physical,120,100,15,User receives recoil damage.,"Head Chargedeals damage, but the user receives1⁄4of the damage it inflicts in recoil. In other words, if the attack does 100 HP damage to the opponent, the user will lose 25 HP.",Yes,5,0
Head Smash,Rock,Physical,150,80,5,User receives recoil damage.,"Head Smashdeals damage, but the user receives1⁄2of the damage it inflicts in recoil. In other words, if the attack does 100 HP damage to the opponent, the user will lose 50 HP.",Yes,4,0
Headbutt,Normal,Physical,70,100,15,May cause flinching.,Headbuttdeals damage and has a 30% chance of causing the target to flinch (if the target has not yet moved).,Yes,1,0
